Option,Rin,Size,NF,Gain,S11,BW,Input_TLine_Imp,Input_TLine_Len,Input_L,Input_L_Q,Input_L_SRF,Input_L_Geom,Output_L,Output_L_Q,Output_L_SRF,Output_L_Geom,Degen_L,Degen_L_Q,Degen_L_SRF,Degen_L_Geom,DC_Power,CPWD_Length,CPWD_Width,CPWD_Gap,CLoad,Inter_ind_L,Inter_ind_Q,Inter_ind_SRF,Inter_cap,_PWR_mW,_BW_GHz,Score
],58,11*1um/60nm,4.193451725242139,8.576384521045183,-16.769866383039115,1935046054.0992887,18.0,0.030318400439970986,390.54233299495604,18.448000785528333,79.88086919047863,[25.    3.    3.75  2.  ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],58.8523318676972,15,0,"[0, 0, 0, 0]",1.76mW,60.64,9.472,3.901,0.0,0,0,0,0,1.76,1.9350460540992886,2000000001.1427186
^,59,11*1um/60nm,4.141187922257949,8.502144340253112,-11.045073079416131,1935046054.0992887,18.0,0.03158166712496977,388.6682257106859,18.03988427397717,70.29283149911714,[25.    3.    2.25  2.  ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],60.77710336217342,15,0,"[0, 0, 0, 0]",1.76mW,60.64,9.472,3.901,0.0,0,0,0,0,1.76,1.9350460540992886,2000000000.1933928
_,50,17*1um/60nm,4.032623092891361,9.220964413314368,-10.273391281615405,1935046054.0992887,18.0,0.017685733589983075,228.68948247183351,18.222966206151003,96.58714502587166,[47.5    3.     3.875  1.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],62.208085391299775,15,0,"[0, 0, 0, 0]",2.72mW,59.6,9.472,3.925,0.0,0,0,0,0,2.72,1.9350460540992886,1999999996.3179266
`,51,17*1um/60nm,4.009098499214645,9.134962695695192,-10.270040156553717,1935046054.0992887,18.0,0.020212266959980654,226.34821191662508,20.50163015245473,93.30893178960584,[47.5    3.     2.375  1.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],64.15627255343486,15,0,"[0, 0, 0, 0]",2.72mW,60.05,9.475,3.92,0.0,0,0,0,0,2.72,1.9350460540992886,1999999996.4866178
a,52,17*1um/60nm,4.025652972919124,9.050631020326565,-10.09165763831427,1935046054.0992887,18.0,0.017685733589983075,226.34821191662508,20.50163015245473,93.30893178960584,[47.5    3.     2.375  1.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],66.10682192222387,15,0,"[0, 0, 0, 0]",2.72mW,59.6,9.472,3.925,0.0,0,0,0,0,2.72,1.9350460540992886,1999999996.9307323
b,53,17*1um/60nm,4.044768271245955,8.967905760666666,-10.06815991914301,1935046054.0992887,18.0,0.0138959335349867,223.42196929843172,21.764697247860077,96.56230037033734,[45.  4.  3.  1.],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],68.05981099412436,15,0,"[0, 0, 0, 0]",2.72mW,59.6,9.472,3.925,0.0,0,0,0,0,2.72,1.9350460540992886,1999999997.4109867
c,54,17*1um/60nm,4.057199205176366,8.88672685844487,-10.031952322379087,1935046054.0992887,18.0,0.0063163334249939545,219.48318729510262,21.410100081514084,100.72357164598976,[45.     5.5    2.875  1.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],70.01531788789777,15,0,"[0, 0, 0, 0]",2.72mW,59.24,9.478,3.943,0.0,0,0,0,0,2.72,1.9350460540992886,1999999997.8316586
d,55,17*1um/60nm,4.075892317645762,8.807037561732118,-10.09451121187999,1935046054.0992887,18.0,0.005053066739995163,219.48318729510262,21.410100081514084,100.72357164598976,[45.     5.5    2.875  1.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],71.97342136745019,15,0,"[0, 0, 0, 0]",2.72mW,59.24,9.478,3.943,0.0,0,0,0,0,2.72,1.9350460540992886,1999999998.3090801
e,56,17*1um/60nm,4.095007937314761,8.72878418661255,-10.064233489269732,1935046054.0992887,18.0,0.0025265333699975817,219.48318729510262,21.410100081514084,100.72357164598976,[45.     5.5    2.875  1.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],73.93420086512377,15,0,"[0, 0, 0, 0]",2.72mW,59.24,9.478,3.943,0.0,0,0,0,0,2.72,1.9350460540992886,1999999998.7701268
f,57,17*1um/60nm,4.147333610939036,8.65191589994964,-10.462175653719745,1935046054.0992887,18.0,0.0,216.8628366528784,19.68287278630606,103.53859563790104,[47.5  3.   4.   1. ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],75.89773650545702,15,0,"[0, 0, 0, 0]",2.72mW,59.03,9.48,3.943,0.0,0,0,0,0,2.72,1.9350460540992886,1999999999.5444667
g,58,17*1um/60nm,4.152246235027005,8.576384521045183,-10.619946357149036,1935046054.0992887,18.0,0.0,213.58669680755472,18.837261854553752,103.60436649760122,[42.5  3.   2.5  1. ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],77.86410912943516,15,0,"[0, 0, 0, 0]",2.72mW,59.03,9.48,3.943,0.0,0,0,0,0,2.72,1.9350460540992886,1999999999.9131246
h,59,17*1um/60nm,4.16045898853786,8.502144340253112,-10.747418568079784,1935046054.0992887,18.0,0.0,213.05256915808604,19.174933539669947,103.33253826033624,[42.5    3.     3.125  1.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],79.83340031925061,15,0,"[0, 0, 0, 0]",2.72mW,59.03,9.48,3.943,0.0,0,0,0,0,2.72,1.9350460540992886,2000000000.2974067
