Option,Rin,Size,NF,Gain,S11,BW,Input_TLine_Imp,Input_TLine_Len,Input_L,Input_L_Q,Input_L_SRF,Input_L_Geom,Output_L,Output_L_Q,Output_L_SRF,Output_L_Geom,Degen_L,Degen_L_Q,Degen_L_SRF,Degen_L_Geom,DC_Power,CPWD_Length,CPWD_Width,CPWD_Gap,CLoad,Inter_ind_L,Inter_ind_Q,Inter_ind_SRF,Inter_cap,_PWR_mW,_BW_GHz,Score
A,50,16*1um/60nm,3.9410263554883525,9.220964413314368,-12.292130109802837,1935046054.0992887,18.0,0.0277918670699734,248.20347617276872,20.888146966516498,91.88036850911273,[15.     3.     3.875  2.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],60.02177540675646,15,0,"[0, 0, 0, 0]",2.56mW,60.33,9.475,3.917,0.0,0,0,0,0,2.56,1.9350460540992886,1999999995.9721518
B,51,16*1um/60nm,3.9553069177371585,9.134962695695192,-12.12518353766892,1935046054.0992887,18.0,0.026528600384974607,248.20347617276872,20.888146966516498,91.88036850911273,[15.     3.     3.875  2.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],61.96339634605217,15,0,"[0, 0, 0, 0]",2.56mW,60.33,9.475,3.917,0.0,0,0,0,0,2.56,1.9350460540992886,1999999996.3929954
C,52,16*1um/60nm,3.988696623684245,9.050631020326565,-11.007875679211331,1935046054.0992887,18.0,0.016422466904984282,243.373568476114,20.076064993483207,97.97228654702133,[17.5   3.    3.25  2.  ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],63.907025025552926,15,0,"[0, 0, 0, 0]",2.56mW,59.6,9.472,3.925,0.0,0,0,0,0,2.56,1.9350460540992886,1999999996.7938294
D,53,16*1um/60nm,4.003783740875619,8.967905760666666,-10.988743548631138,1935046054.0992887,18.0,0.015159200219985493,243.373568476114,20.076064993483207,97.97228654702133,[17.5   3.    3.25  2.  ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],65.85272854208418,15,0,"[0, 0, 0, 0]",2.56mW,59.6,9.472,3.925,0.0,0,0,0,0,2.56,1.9350460540992886,1999999997.2324526
E,54,16*1um/60nm,4.019154009244356,8.88672685844487,-10.831898906313594,1935046054.0992887,18.0,0.012632666849987909,243.373568476114,20.076064993483207,97.97228654702133,[17.5   3.    3.25  2.  ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],67.80057445520517,15,0,"[0, 0, 0, 0]",2.56mW,59.36,9.474,3.942,0.0,0,0,0,0,2.56,1.9350460540992886,1999999997.6578233
F,55,16*1um/60nm,4.03658561786476,8.807037561732118,-10.978733889930993,1935046054.0992887,18.0,0.018949000274981864,240.9063686535402,19.82429420890454,92.24654859575047,[15.     4.     2.125  2.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],69.75063080413099,15,0,"[0, 0, 0, 0]",2.56mW,59.75,9.473,3.926,0.0,0,0,0,0,2.56,1.9350460540992886,1999999998.1380515
G,56,16*1um/60nm,4.112926352511112,8.72878418661255,-10.678309187095731,1935046054.0992887,18.0,0.008842866794991537,239.88676421294025,18.319821798421373,98.45592748724421,[50.   3.5  3.   1. ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],71.7029661249453,15,0,"[0, 0, 0, 0]",2.56mW,59.36,9.474,3.942,0.0,0,0,0,0,2.56,1.9350460540992886,1999999998.9990525
H,57,16*1um/60nm,4.088804319186093,8.65191589994964,-10.65775739503854,1935046054.0992887,18.0,0.018949000274981864,236.69951695918942,17.97792316983132,89.27421554694838,[50.     3.     2.375  1.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],73.65764946811598,15,0,"[0, 0, 0, 0]",2.56mW,59.75,9.473,3.926,0.0,0,0,0,0,2.56,1.9350460540992886,1999999999.1234174
I,58,16*1um/60nm,4.093643173850139,8.576384521045183,-10.330206874912848,1935046054.0992887,18.0,0.015159200219985493,234.22949246282664,20.042885623826344,90.37256537758083,[50.     3.     2.625  1.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],75.61475041632625,15,0,"[0, 0, 0, 0]",2.56mW,59.6,9.472,3.925,0.0,0,0,0,0,2.56,1.9350460540992886,1999999999.4194794
J,59,16*1um/60nm,4.140765088908799,8.502144340253112,-10.216325938095231,1935046054.0992887,18.0,0.005053066739995163,232.98157739170878,19.07044584138588,95.97447838835295,[50.    6.    3.75  1.  ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],77.57433910263403,15,0,"[0, 0, 0, 0]",2.56mW,59.24,9.478,3.943,0.0,0,0,0,0,2.56,1.9350460540992886,2000000000.0671437
U,50,11*1um/60nm,4.201368993384636,9.220964413314368,-11.728657998875088,1935046054.0992887,18.0,0.03158166712496977,402.9777901836543,17.94165980705666,77.83687093436136,[22.5    3.5    2.875  2.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],43.483549889642475,15,0,"[0, 0, 0, 0]",1.76mW,60.64,9.472,3.901,0.0,0,0,0,0,1.76,1.9350460540992886,1999999997.831525
V,51,11*1um/60nm,4.193639462726061,9.134962695695192,-12.022853598456404,1935046054.0992887,18.0,0.03158166712496977,402.9777901836543,17.94165980705666,77.83687093436136,[22.5    3.5    2.875  2.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],45.40206493572932,15,0,"[0, 0, 0, 0]",1.76mW,60.64,9.472,3.901,0.0,0,0,0,0,1.76,1.9350460540992886,1999999998.1658363
W,52,11*1um/60nm,4.1870426248703545,9.050631020326565,-12.320885470089596,1935046054.0992887,18.0,0.03158166712496977,402.9777901836543,17.94165980705666,77.83687093436136,[22.5    3.5    2.875  2.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],47.32125931214337,15,0,"[0, 0, 0, 0]",1.76mW,60.64,9.472,3.901,0.0,0,0,0,0,1.76,1.9350460540992886,1999999998.5026293
Y,54,11*1um/60nm,4.389472574404988,8.88672685844487,-11.195544603840784,1935046054.0992887,18.0,0.03158166712496977,395.74539423126663,14.485360381224579,73.75707667065967,[72.5    3.5    2.875  1.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],51.1618029271914,15,0,"[0, 0, 0, 0]",1.76mW,60.64,9.472,3.901,0.0,0,0,0,0,1.76,1.9350460540992886,2000000000.559456
Z,55,11*1um/60nm,4.232493446205016,8.807037561732118,-11.345903937204556,1935046054.0992887,18.0,0.03158166712496977,392.81477976688734,15.189879413266413,73.2055150123839,[22.5    5.5    2.875  2.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],53.08321078269318,15,0,"[0, 0, 0, 0]",1.76mW,60.64,9.472,3.901,0.0,0,0,0,0,1.76,1.9350460540992886,1999999999.69903
[,56,11*1um/60nm,4.12934679361757,8.72878418661255,-12.031375781865552,1935046054.0992887,18.0,0.03158166712496977,391.7240639857916,20.119273351770328,73.85080944875264,[22.5    3.5    3.125  2.   ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],55.00541520836864,15,0,"[0, 0, 0, 0]",1.76mW,60.64,9.472,3.901,0.0,0,0,0,0,1.76,1.9350460540992886,1999999999.3261356
\,57,11*1um/60nm,4.1948250570033645,8.65191589994964,-16.485489643040246,1935046054.0992887,18.0,0.03158166712496977,390.54233299495604,18.448000785528333,79.88086919047863,[25.    3.    3.75  2.  ],63.58769464925967,37.43373508565645,168.27096858157987,[15.    7.    2.75  1.  ],56.92844570768545,15,0,"[0, 0, 0, 0]",1.76mW,60.64,9.472,3.901,0.0,0,0,0,0,1.76,1.9350460540992886,2000000000.8036082
