Length,Width,Gap,Char_Imp,beta_l,root_er
10,2.0,2.0,18.498846560864934,0.10592061246183157,2.5724501707644643
10,2.0,2.5,21.644433903219568,0.14105452697669796,2.9567071381295524
10,2.0,3.0,23.73921258059847,0.08128522603659603,3.0060002852867838
10,2.0,3.5,25.653078048962342,-0.081704722220618,2.857522750727772
10,2.0,4.0,27.259574852079226,0.009468515220211624,2.9052404909813463
10,2.0,4.5,28.548172325332935,0.042127639680468384,2.9076030284249534
10,2.0,5.0,29.763366513414894,-0.009763243596520744,2.7648547985218577
10,2.0,5.5,30.544595471401305,-0.06374063138829396,2.6145946342570197
10,2.0,6.0,31.382891914462046,0.12206128077494725,2.8735625925106314
10,2.0,6.5,32.11907606924749,-0.008033625187231157,2.9312854763553626
10,2.0,7.0,32.714296249466706,0.0314559273821345,2.635913332195915
10,2.0,7.5,33.34830562984749,0.0061735136030232965,2.868505251472629
10,2.0,8.0,30.891151010180657,0.24988304096793895,3.0249420073361204
10,2.0,8.5,31.191684721691615,0.11092550684112361,3.0804230742948495
10,2.0,9.0,31.38136705230906,0.05533993920397096,3.1081256150745338
10,2.0,9.5,31.564643798082788,-0.0799407813838389,3.052969693584533
10,2.0,10.0,31.79488805522123,0.053744750434920927,3.0762312933612694
10,2.0,10.5,32.164508926978286,0.12095066812171795,3.0801413144258305
10,2.0,11.0,32.36639802481363,-0.04768639417120064,3.151333390132549
10,2.0,11.5,32.709984950991476,0.1569227024909324,2.940424286011336
10,2.5,2.0,20.48432612145408,0.11864999348466726,2.8183114124249897
10,2.5,2.5,22.777500111341674,0.10259690185372826,2.8895769242957305
10,2.5,3.0,24.00155752546804,-0.12916644809195693,2.873786352472027
10,2.5,3.5,25.664033049856226,0.12506491779649584,2.9951980997591447
10,2.5,4.0,26.892643622208144,0.12372004055949898,2.7787007439372426
10,2.5,4.5,27.674975370295396,0.027215421114883148,2.7896404952444187
10,2.5,5.0,28.678252453347653,-0.126907233167916,2.8782190097182063
10,2.5,5.5,29.46277918504952,-0.06885459656709192,2.9608779867342347
10,2.5,6.0,30.056911544020696,0.11693134224879029,2.791744126035257
10,2.5,6.5,30.940346792796902,-0.012900502385884704,2.9720037757883397
10,2.5,7.0,31.609079558805828,0.09971574963849753,2.6847946293880502
10,2.5,7.5,28.666130914613163,0.0008896948694407103,3.1046738327988406
10,2.5,8.0,29.102553889364277,0.11135053351582638,3.390311860859745
10,2.5,8.5,29.33232102650164,0.12514840852203582,3.009155180681976
10,2.5,9.0,29.579813389017968,-0.03739890884197798,3.338508188565895
10,2.5,9.5,29.65270787163966,0.02121380434247106,3.0582362658099966
10,2.5,10.0,29.70402427368993,0.1285659492400944,3.2137748277726836
10,2.5,10.5,30.239909808300492,0.07783104816850606,3.1702215776728093
10,2.5,11.0,30.37357778861023,0.05187074298037933,3.177789906363368
10,2.5,11.5,30.946409315448957,-0.06504948549919456,3.1142326226915467
10,3.0,2.0,21.089867930977753,0.033506444656302294,2.957851306329113
10,3.0,2.5,22.496175401186,-0.1461428206496741,2.7686187747925235
10,3.0,3.0,24.073878939746546,0.04158618888013505,2.8499468075829895
10,3.0,3.5,24.96732096646511,0.05213810945055175,2.936941391460285
10,3.0,4.0,26.072509703763778,0.026727799497438906,2.73904680334522
10,3.0,4.5,26.83453745800869,0.050024115316019434,2.802467281579204
10,3.0,5.0,27.359100208258308,0.07930171168670254,2.7562372404933537
10,3.0,5.5,28.188147127052996,-0.18122546915897242,2.7496623599324557
10,3.0,6.0,28.739449503630315,-0.018316950631149444,2.806112032066454
10,3.0,6.5,26.35659976601279,-0.19677190202037823,3.228465193570544
10,3.0,7.0,26.651273608768975,0.06553688758696254,3.2360808455767924
10,3.0,7.5,27.050795570873845,0.04570002111387735,3.2094512645205007
10,3.0,8.0,27.127262240873996,-0.04332495763112595,3.214415917149765
10,3.0,8.5,27.41414794364145,-0.09534490543186791,3.2036759357068054
10,3.0,9.0,27.51386090653937,-0.09109471190206475,3.204572486424984
10,3.0,9.5,27.67713549307935,-0.06631267658346379,3.24308740240938
10,3.0,10.0,28.024300907572982,-0.11640422491964011,3.3870865246506483
10,3.0,10.5,28.23862598149461,0.09252116560373294,3.0999665711086224
10,3.0,11.0,28.888904014885664,-0.08670498232712201,3.179836230312715
10,3.0,11.5,29.26597227802891,0.02747408697499217,3.128849545063687
10,3.5,2.0,20.46846725472638,0.017815539489807866,2.873529102178026
10,3.5,2.5,21.898512888468233,0.012499633149657543,3.00479304871001
10,3.5,3.0,23.12195330354497,-0.12807265643588872,2.817878198103811
10,3.5,3.5,24.148329086342518,0.18279842857444012,2.8779070911236593
10,3.5,4.0,25.05546999586972,-0.051599085426166376,2.8655364159130063
