Length,Width,Inductance,Peak Q,Peak Q Freq,SRF
10,2.0,3.780345204245829,123.8709362220469,201.10806137965133,
10,2.5,3.6091536782353044,143.44456018297095,201.302031511457,
10,3.0,3.4777352472544845,125.55377460448494,203.67738348166725,
10,3.5,3.3495471615077306,131.92616768105034,191.97177118524166,
10,4.0,3.127195494364706,145.3549127530612,199.58703912815184,
10,4.5,3.0967538697065575,153.64624175679637,209.81578251653337,
10,5.0,2.9979193108596314,156.94097776973447,207.05172232989457,
10,5.5,2.8461152259238642,167.97780100686427,205.52776543104721,
10,6.0,2.7097979242651027,176.856590966897,193.01680083489006,
10,6.5,2.7022030117629403,192.2949132750902,209.31997706472853,
10,7.0,2.6173427859473613,186.98271579948195,203.01350427755506,
10,7.5,2.6027021297615978,200.05339912402968,195.81115892987634,
10,8.0,2.5089074784461483,190.40408603910512,190.2595462058016,
10,8.5,2.4021504891174645,211.47980121263458,206.66332003651866,
10,9.0,2.448486785055779,199.3817558151964,204.3799971320496,
10,9.5,2.2805518999652192,209.39611553215073,209.65199224241914,
10,10.0,2.3083472927051325,219.7537845362406,204.63149049445505,
10,10.5,2.6428346436111365,226.57358701067727,206.63234113218235,
10,11.0,2.9047324609382765,249.04487863007742,191.76267846649006,
10,11.5,3.0457512217157174,252.39900329531704,193.22401391865267,
10,12.0,3.360262771638216,266.2848875925679,195.24248291379087,
15,2.0,6.432140303506938,144.5825331430219,205.5836279828718,
15,2.5,6.574470243026392,177.70641530548966,204.49899264112165,
15,3.0,5.829425925180556,146.56923589582277,190.15081169782025,
15,3.5,6.001087659644768,148.51899965398928,198.0412590149725,
15,4.0,5.637266812875712,164.3715100327723,192.6778986027377,
15,4.5,5.429634871414944,174.77884954179987,208.2208777037102,
15,5.0,5.152396383702139,183.22360778729197,191.35028591854476,
15,5.5,4.981383844354519,190.21766195987956,191.75937958035004,
15,6.0,4.8567790739028815,210.34051948747316,193.7362222358678,
15,6.5,5.052571540082619,204.34879448120992,197.24074632001708,
15,7.0,4.639249419363464,224.4138626193556,192.28281680951162,
15,7.5,4.780704695889528,214.7364994773556,193.02084848085238,
15,8.0,4.668480443162099,226.74477101899234,192.14866927015004,
15,8.5,4.486945651614165,225.69224413787467,190.5058255702384,
15,9.0,4.584582515382881,226.2050330653659,208.85807719119143,
15,9.5,4.240198717747915,254.2711116091543,207.48200411765941,
15,10.0,4.015279454067615,251.31644729039422,208.13544995953444,
15,10.5,4.129104730187845,253.5599719876477,206.75670635762552,
15,11.0,3.9351521026610086,250.69272801128346,190.53732044666535,
15,11.5,3.833274698209837,252.19582810829257,194.3831282555302,
15,12.0,4.106447047083539,280.13421123862105,194.83476210092903,
20,2.0,9.808749705695844,160.5162095264934,199.68568525971196,
20,2.5,9.804892785263556,179.90875439043228,206.41828952429128,
20,3.0,8.889700724685321,150.65729738331808,200.66032765622117,
20,3.5,8.415133454235573,160.81274880072965,190.31333653399355,
20,4.0,8.974984774278509,184.2257528415258,209.1580207415826,
20,4.5,8.50109679365508,194.22607767414132,206.72557271824599,
20,5.0,8.261465434210185,199.72827366004424,200.684089789453,
20,5.5,8.126161200364788,206.99337605357408,200.049151821495,
20,6.0,7.54001192992417,206.2252515643309,199.5010136548074,
20,6.5,7.448553715518776,215.34248108886436,200.31312177481837,
20,7.0,7.234478695730579,232.97517007395385,208.84149890520428,
20,7.5,7.434526692951075,229.70983986987426,196.47772790981398,
20,8.0,6.886602014073068,244.17794761013425,192.39611692797106,
20,8.5,6.764102434191689,240.17397469255025,201.42323822916785,
20,9.0,6.908684029434101,242.55579777967486,192.06958646193272,
20,9.5,6.6875725856678345,272.656522757655,193.25436329017094,
20,10.0,6.51304061205741,266.86650453699525,205.52176449993414,
20,10.5,6.149473395250131,259.60287559526773,195.1204472825519,
20,11.0,6.197448426306953,260.8581628194536,203.93543059582984,
20,11.5,6.411880526546371,272.9155584202004,199.21520326208164,
20,12.0,5.821028036992348,280.90655175069935,190.73410102606525,
25,2.0,13.880167403510075,168.34754654254948,200.10954123000656,
25,2.5,13.27200355206324,197.2423454562772,198.93909386665408,
25,3.0,11.971874405752741,153.03675824688048,201.95363305492447,
25,3.5,12.419701919515022,175.14848606034386,196.87102954497766,
25,4.0,11.7007859833237,179.4723198173759,205.64589650911967,
25,4.5,11.272664731343767,192.40729265029748,200.34165113746795,
25,5.0,11.217501644818146,214.84544441540888,206.52573244972137,
25,5.5,10.588901716772213,228.15452257537927,191.83255897598312,
25,6.0,10.10861614405483,227.65297718158374,205.9362683987162,
25,6.5,10.044710116750174,233.27568844861753,191.2318493334552,
25,7.0,9.779016851761407,244.0056007981376,196.3688473423587,
25,7.5,9.810097732024671,248.62881932575908,193.4317587086437,
25,8.0,9.710218511303744,251.2915985234769,194.11652793777955,
25,8.5,9.269872958721553,246.9037885461855,202.85199314759137,
25,9.0,9.60807362131555,267.483938249701,201.30662865863945,
25,9.5,9.047616984289586,261.9149835036555,206.84231713154975,
25,10.0,9.117284528678901,263.67158233898834,202.49457590488353,
25,10.5,9.037267623059671,262.3773350097391,196.35435590984687,
25,11.0,8.958482677806014,291.2235184327871,199.5005275835641,
25,11.5,8.293580211495437,288.0220816795712,192.29305272800852,
25,12.0,8.293606034826725,303.4538643621165,190.28320604812225,
30,2.0,17.731416986756013,179.9361488633047,194.97789190723665,
30,2.5,17.007494001922705,205.05997896090767,205.1923313887209,
30,3.0,15.972490375651946,155.2583709860043,209.85151762681653,
30,3.5,16.09997146908179,174.675779121052,196.8640886238173,
30,4.0,14.651237497811161,200.56663728273355,197.854099005631,
30,4.5,14.560193100118722,204.80862608357535,199.14633754385918,
30,5.0,14.257535836418775,206.49855597876154,200.60907852382672,
30,5.5,13.483963804116602,231.6915790393717,195.20453030277815,
30,6.0,13.233209922645464,239.8274170853235,203.43164965739572,
30,6.5,13.51761949254654,238.43117452460373,194.93255430312627,
30,7.0,12.416475829029185,240.75597576501775,191.72666085642516,
30,7.5,12.681653909720124,248.4228109422546,201.07577661483913,
30,8.0,12.312404771964323,240.7776941521011,194.01757732039528,
30,8.5,12.678692912591345,249.16072147426027,207.12614448566228,
30,9.0,12.060710902744335,270.6213788440993,209.44973809208642,
30,9.5,12.425759816136564,280.00616400341363,197.72776535573485,
30,10.0,12.129268357706115,262.6913577417495,194.85208005367485,
30,10.5,11.192065853641857,279.680173887548,198.37525604000163,
30,11.0,11.846242044212927,272.3711008242541,195.24100791103763,
30,11.5,11.292626192672586,272.65327106667974,200.28677979865964,
30,12.0,10.612251592059742,297.8953060553683,198.72938148065748,
35,2.0,20.248460187633533,182.73292757193317,198.88170194005698,
35,2.5,20.3482411036589,199.7365133961899,198.89194308847036,
35,3.0,19.554026806628343,155.78703278379294,192.0699350520678,
35,3.5,19.94550028284778,175.3285779439645,190.86189843535502,
35,4.0,17.94028247298218,200.2340062752572,198.40343669346882,
35,4.5,17.420690169696737,193.8665683901811,208.0147169905404,
35,5.0,17.98050311742928,209.16496360043547,209.1549020150308,
35,5.5,17.357329049179274,221.32501603948077,201.52379601551587,
35,6.0,16.25661993091388,226.03657595824444,202.78632271963656,
35,6.5,16.192246805906542,245.7681385300987,195.95536910075606,
35,7.0,15.75907604831727,239.1749487180171,203.5091433237538,
35,7.5,15.910326213064806,252.77381617820885,202.70106982166584,
35,8.0,15.143284761538762,240.94047535204916,206.39243882267516,
35,8.5,15.689684578101039,244.84305795677082,200.12043432566784,
35,9.0,15.07444484572613,259.32810567061273,197.25077470069252,
35,9.5,14.210359649798884,273.0157731626704,204.15369810320715,
35,10.0,14.589892017325315,265.79642482853023,208.9991466470773,
35,10.5,14.507584724714462,259.15933072348776,197.42555624960093,
35,11.0,14.179473435851389,278.1571573159951,197.54462471688765,
35,11.5,13.588953068020118,285.4576839390369,206.6766806106415,
35,12.0,14.375156568017825,264.0113063293865,209.52736163688294,
40,2.0,24.35452224964124,165.04985775806597,205.40429337388142,
40,2.5,23.655004021747708,197.75535708291727,198.84655567860858,
40,3.0,23.229515156212546,166.66783255112344,197.0834102811557,
40,3.5,22.331185742412487,175.0086005144253,206.03399209986722,
40,4.0,22.780126105726804,186.48683613680998,199.59359139711117,
40,4.5,20.774097359123562,185.87850989592383,201.08969747564086,
40,5.0,21.806121278782193,201.02540073245447,201.0116586428761,
40,5.5,20.89460948600528,221.46644301392092,191.030296259896,
40,6.0,20.88835536233166,209.39355337037213,206.1185832057001,
40,6.5,19.137401466638853,234.16140750921912,202.83480497353156,
40,7.0,19.376010267997383,224.67516279080584,196.1103685670404,
40,7.5,19.881152781029748,245.4473361610099,189.99726754007443,
40,8.0,19.510607301474938,234.47186199509727,204.1571701280433,
40,8.5,18.12749770733571,235.9362756487326,204.1076873043095,
40,9.0,18.693897583081565,249.06356539194599,208.3745332020216,
40,9.5,18.228667164191414,248.95435250843937,202.98679578406745,
40,10.0,17.434296726610516,239.23470179272306,194.34987663480942,
40,10.5,17.779136798232543,264.24314498396717,191.64751112169034,
40,11.0,17.063309587338917,246.4864480276042,206.608705010658,
40,11.5,16.62442299604932,259.54154712398093,205.20709201883133,
40,12.0,16.446401244881923,246.50876438718583,198.2163415236438,
45,2.0,30.40143520675256,175.3306238686894,206.08846092783344,
45,2.5,28.28920236921276,185.9028687935966,207.59743024025542,
45,3.0,26.57403091599726,150.32313974484128,198.27149827014975,
45,3.5,26.884255427568974,163.98348765364653,191.18528159765586,
45,4.0,27.046976212314025,185.9978291999868,203.4402578016761,
45,4.5,25.590887864718034,191.84166584940715,195.23618222797074,
45,5.0,25.486416475847427,194.39501403365625,202.03841638047055,
45,5.5,25.128322903449686,195.45167057686044,208.05481070441402,
45,6.0,24.66501797713861,200.09656454608657,190.40304064423077,
45,6.5,22.327074444520854,209.21349819427417,200.68211662832226,
45,7.0,23.156493146000702,201.34561317970548,193.98805391450662,
45,7.5,23.131008787509803,215.84216494467768,199.5713471748807,
45,8.0,22.3612285318725,210.98753520915147,196.31052148254398,
45,8.5,22.294899972876667,223.03379480152128,199.1130693520768,
45,9.0,21.763424163153896,222.29067053306738,209.53493655229414,
45,9.5,20.889691275213636,236.0926693550275,196.42403976512733,
45,10.0,21.643932995178673,240.7065844863065,190.04416839704263,
45,10.5,20.241837544966053,228.31765239133267,209.2552409388563,
45,11.0,20.666829261598156,232.56062537414897,208.09772361248787,
45,11.5,19.497727468406904,241.02717482355982,188.6230034257512,
45,12.0,19.494126941088215,236.93617396562482,200.7222801284863,
50,2.0,34.395000953529134,160.48871156356338,199.0862393365535,
50,2.5,33.75577368791268,178.85932428612412,202.72782339232424,
50,3.0,30.47164391955704,150.5638766731321,205.6563433663274,
50,3.5,32.049062190912196,169.9803914408738,195.65898493280434,
50,4.0,28.72929143500758,171.3610828371198,204.12610873560368,
50,4.5,29.95610586791108,173.74933821060228,200.34623101012997,
50,5.0,28.309176158284554,194.28693705949243,202.96934067572104,
50,5.5,27.905962728065738,190.20919409721068,189.9937733853469,
50,6.0,27.734607253343302,200.4674623718351,196.28989353370483,
50,6.5,26.63098932967976,207.1595699886845,204.0946967694933,
50,7.0,27.688973485600982,202.11785559112454,201.59687431952852,
50,7.5,25.543394962820035,203.63503126227323,206.9608390429041,
50,8.0,24.47066451878229,204.73452823682956,191.29632536229192,
50,8.5,26.079800653214452,212.56422351969982,203.34307609064868,
50,9.0,24.268384200602217,202.11742519992015,191.87004133402874,
50,9.5,25.573310861403858,208.71945310556706,192.4882320842027,
50,10.0,24.962804500559024,216.67808671029334,199.64974290267804,
50,10.5,23.167743408769915,205.51533988147477,190.58131990693838,
50,11.0,23.66638799530637,200.23127141280855,154.32261949114243,
50,11.5,24.065362483492237,204.8806449588055,202.7306185646338,
50,12.0,21.645741363676446,208.41535329143073,202.122363938157,
55,2.0,38.08729625314178,150.7054615423265,202.33072464416662,
55,2.5,37.998297154828634,164.40290868024428,196.21680649466865,
55,3.0,34.05866894503699,144.09059740567432,193.7810606433503,
55,3.5,34.62909468607294,150.01047768103248,200.510654152884,
55,4.0,33.816771331141226,160.9120837176665,192.87263432892306,
55,4.5,34.39449485902541,166.56147002435614,198.48925442994948,
55,5.0,33.847651743410054,170.94809493193722,207.69484518666974,
55,5.5,30.389521172277746,172.66360623742435,197.38566255840465,
55,6.0,29.597666108351056,176.26278725792855,190.64361737846784,
55,6.5,30.41806763567779,186.71550089157046,190.0554813103154,
55,7.0,29.99762590934613,189.95134340728035,186.03207876451694,
55,7.5,28.610574000890146,183.58593567465238,200.57888270490156,
55,8.0,29.774000602167042,180.917681379745,179.76571584695995,
55,8.5,27.830713447353435,194.55031847743643,187.2445196244819,
55,9.0,28.937659642322917,185.4722275165475,174.29253560753295,
55,9.5,26.91367756797533,192.20665867207597,173.582393120441,
55,10.0,28.416761788478578,202.0153936998118,170.09927166552507,
55,10.5,25.97801037141881,192.44339564821615,167.81161882469655,
55,11.0,27.05426775719679,207.14819927851264,165.6942365033324,
55,11.5,26.233648326688275,201.5786550758067,173.92842480294638,
55,12.0,25.123303925742615,196.5843580474481,159.2970398804551,
60,2.0,41.09624126263989,142.25832770409022,196.62711986303898,
60,2.5,41.77402033613297,151.3134785222318,199.35877667782847,
60,3.0,40.29490984695065,136.3856699139762,207.1722727263751,
60,3.5,39.54377996109569,149.0624024903434,208.78078247469682,
60,4.0,38.989603920707275,154.84419429964876,194.50302460293665,
60,4.5,38.487751912624795,155.6064698802193,185.6968017346349,
60,5.0,38.03288401011473,163.4366022977017,176.32885373098753,
60,5.5,37.02940147484509,162.83036272966243,189.77267207942126,
60,6.0,36.44622171271931,164.07296243959152,178.24863255649188,
60,6.5,34.56155161858783,163.39302263288042,185.14827688774216,
60,7.0,33.515481597611874,171.45159267373967,177.42197160407963,
60,7.5,34.74959010005762,172.25716597805993,169.44340003029708,
60,8.0,31.703327327556078,167.24253086154297,169.21751933744275,
60,8.5,31.070346445715174,168.86078539216712,166.36318540670712,
60,9.0,32.14596759497967,177.0080519921371,161.06554072595458,
60,9.5,32.79737033030927,171.3131226908166,169.68961580420637,
60,10.0,31.307215368850738,186.98858611178477,159.05806824661482,
60,10.5,31.512397359441746,174.17067431234184,166.5120752962925,
60,11.0,30.386814247607518,183.38898527077626,158.66171917334228,
60,11.5,29.634495416246235,178.17130837773965,160.86405692039108,
60,12.0,27.984156090991867,192.36151183340337,160.91244083542574,
65,2.0,46.4545652434554,139.637058495089,184.34234549165313,
65,2.5,45.52399451687284,140.66034990911564,175.07129585345712,
65,3.0,41.96180812147455,126.01608397253452,187.68059127312063,
65,3.5,44.29884642026609,133.590008078177,189.53401553805708,
65,4.0,41.72723422521765,134.156727415285,187.91922946644704,
65,4.5,42.232286534077986,142.7949560492977,172.4260924037432,
65,5.0,40.96315497229556,144.43741441018804,165.34219908619627,
65,5.5,39.897261267066575,150.47948291957897,172.62424732129224,
65,6.0,38.022025210121015,154.7573055051149,156.35011115423836,
65,6.5,40.01363704636678,156.82884994656328,162.70531342113875,
65,7.0,36.128784581887636,165.98045883204955,153.1658453219119,
65,7.5,37.381338411611566,162.84803864210625,150.33081070574679,
65,8.0,35.44692362653342,163.65709365036957,152.9311031329625,
65,8.5,35.66964743591147,162.98269261883513,151.71050207034267,
65,9.0,34.82596733635277,169.0472490957691,157.1596655489331,
65,9.5,35.63214478431986,156.37115433185977,155.6569008940057,
65,10.0,33.65987278077507,174.86059994662517,148.06210845771804,
65,10.5,35.41242327026421,167.21890104230675,140.24873976827493,
65,11.0,32.565496709549336,167.28048697803007,148.60193939721907,
65,11.5,31.48238588745058,176.73716117673945,147.52734687698222,
65,12.0,31.252961638553025,166.90489880469636,138.92184050358088,
70,2.0,53.0557268465288,127.4977417819851,172.82249865254772,
70,2.5,48.41776299453981,141.01948840985347,165.21088863131646,
70,3.0,46.259014844668734,120.92823658097922,179.34854192726928,
70,3.5,47.43305945603705,129.90869059153016,172.42519686143393,
70,4.0,46.194454056936365,131.8581188446691,168.86315594156954,
70,4.5,46.92403573976874,139.1296341023118,161.8402104062587,
70,5.0,44.329321091969504,139.32773080593807,167.28299625570253,
70,5.5,44.077595721248926,143.84267119313307,148.37199612918815,
70,6.0,42.97488571875998,141.59528977473832,154.6825072672502,
70,6.5,41.696795259906104,142.477051248591,156.89567760686427,
70,7.0,40.3063352094478,142.41190421002094,145.4282146449366,
70,7.5,40.21496529974751,155.72109481990142,156.0214056455213,
70,8.0,40.67625452388625,157.36736449453116,140.9138624085399,
70,8.5,39.933017624912296,148.86115570031583,135.25669520487986,
70,9.0,37.688878233600214,160.2129287062895,142.56431509896882,
70,9.5,37.00985990361725,158.20073990224853,133.91955024972424,
70,10.0,39.79449899164826,150.03869121091512,134.69647403687762,
70,10.5,38.74065358619163,150.0504898815855,133.0517372483749,
70,11.0,36.15740181351215,162.7039711042459,136.78589698188986,
70,11.5,36.55459486234864,160.1048321655088,135.89530496134697,
70,12.0,34.338160105308035,164.42918980555416,124.2577387588865,
75,2.0,54.39394123935795,116.13576708204144,158.50131935544147,
75,2.5,52.81768879168284,125.97054407304854,160.085638156626,
75,3.0,50.65934437009475,112.52350594213569,155.499024298922,
75,3.5,49.520325061256386,121.07461065786104,164.34092320336592,
75,4.0,50.49562607816802,116.08021338040824,150.14564467747803,
75,4.5,48.1767357341623,128.18478431561158,155.8328817523696,
75,5.0,46.25367987725725,128.74566687449882,148.2805214636959,
75,5.5,49.02494119284743,126.59491945494179,150.2736984151833,
75,6.0,46.67350773945803,128.9747050982446,134.9274278754474,
75,6.5,45.87794940035736,130.666291584375,143.41166122079613,
75,7.0,44.70378071259332,144.82215095963397,130.86312405073636,
75,7.5,46.10019582640748,144.49583624617856,138.42581822732416,
75,8.0,42.54021319793375,138.51083167170896,139.04828078663417,
75,8.5,43.31192088767806,135.68793343074412,137.2779764334351,
75,9.0,44.69275718456689,140.23356906776533,125.14854367955522,
75,9.5,44.27489302972167,149.7823496223165,129.43596745655492,
75,10.0,40.20273122478448,146.84692578808054,130.3457425890463,
75,10.5,39.111364131715284,145.8323628532829,127.87023692266283,
75,11.0,42.21905707520082,151.0343912778861,128.3834274333607,
75,11.5,42.03907373346249,141.44592447186204,123.33784163291621,
75,12.0,40.11932980221761,147.46644486755193,118.39780694962394,
