Option,Rin,Size,NF,Gain,S11,BW,Input_TLine_Imp,Input_TLine_Len,Input_L,Input_L_Q,Input_L_SRF,Input_L_Geom,Output_L,Output_L_Q,Output_L_SRF,Output_L_Geom,Degen_L,Degen_L_Q,Degen_L_SRF,Degen_L_Geom,DC_Power,CPWD_Length,CPWD_Width,CPWD_Gap,CLoad,Inter_ind_L,Inter_ind_Q,Inter_ind_SRF,Inter_cap,_PWR_mW,_BW_GHz,Score
A,50,13*1um/60nm,3.7032616761909063,11.375837239924032,-15.26551970406028,1977653129.3380682,18.0,0.03158166712496977,617.1581351949156,14.490584475067585,65.16995598185058,[15.     3.     3.875  3.   ],106.73802872947334,25.44062923480268,127.4844387917484,[30.  6.  2.  1.],51.51805730057021,15,0,"[0, 0, 0, 0]",2.08mW,60.64,9.472,3.901,92.92469338808819,0,0,0,0,2.08,1.9776531293380681,1999999997.638403
B,51,13*1um/60nm,3.682476968698018,11.289835522304855,-15.688233053343925,1977653129.3380682,18.0,0.03158166712496977,617.1581351949156,14.490584475067585,65.16995598185058,[15.     3.     3.875  3.   ],106.73802872947334,25.44062923480268,127.4844387917484,[30.  6.  2.  1.],53.43730670659759,15,0,"[0, 0, 0, 0]",2.08mW,60.64,9.472,3.901,92.92469338808819,0,0,0,0,2.08,1.9776531293380681,1999999997.7881186
C,52,13*1um/60nm,3.6629234195978757,11.205503846936228,-16.115611521035405,1977653129.3380682,18.0,0.03158166712496977,617.1581351949156,14.490584475067585,65.16995598185058,[15.     3.     3.875  3.   ],106.73802872947334,25.44062923480268,127.4844387917484,[30.  6.  2.  1.],55.35718471595014,15,0,"[0, 0, 0, 0]",2.08mW,60.64,9.472,3.901,92.92469338808819,0,0,0,0,2.08,1.9776531293380681,1999999997.9397686
D,53,13*1um/60nm,3.644542529846482,11.12277858727633,-16.54645896284773,1977653129.3380682,18.0,0.03158166712496977,617.1581351949156,14.490584475067585,65.16995598185058,[15.     3.     3.875  3.   ],106.73802872947334,25.44062923480268,127.4844387917484,[30.  6.  2.  1.],57.277714323310725,15,0,"[0, 0, 0, 0]",2.08mW,60.64,9.472,3.901,92.92469338808819,0,0,0,0,2.08,1.9776531293380681,1999999998.0931675
E,54,13*1um/60nm,3.697197917504398,11.041599685054535,-11.829766338645388,1977653129.3380682,18.0,0.03158166712496977,614.1006012335337,14.977868316863791,58.67898314303147,[17.5    3.5    2.625  3.   ],106.73802872947334,25.44062923480268,127.4844387917484,[30.  6.  2.  1.],59.19891857492687,15,0,"[0, 0, 0, 0]",2.08mW,60.64,9.472,3.901,92.92469338808819,0,0,0,0,2.08,1.9776531293380681,1999999998.3296058
G,56,13*1um/60nm,3.64129045076308,10.883657013222216,-10.112086018473281,1977653129.3380682,18.0,0.03158166712496977,610.4863069106749,14.586767227913203,55.071094474023255,[32.5  3.5  3.5  2. ],106.73802872947334,25.44062923480268,127.4844387917484,[30.  6.  2.  1.],63.043443465091,15,0,"[0, 0, 0, 0]",2.08mW,60.64,9.472,3.901,92.92469338808819,0,0,0,0,2.08,1.9776531293380681,1999999998.3842893
H,57,13*1um/60nm,3.793356475744602,10.806788726559306,-12.693537566366684,1977653129.3380682,18.0,0.03158166712496977,607.3673833446715,14.373549619225248,58.33426186901884,[15.  5.  2.  3.],106.73802872947334,25.44062923480268,127.4844387917484,[30.  6.  2.  1.],64.9668104710251,15,0,"[0, 0, 0, 0]",2.08mW,60.64,9.472,3.901,92.92469338808819,0,0,0,0,2.08,1.9776531293380681,1999999999.4928133
I,58,13*1um/60nm,3.527436249892565,10.731257347654847,-10.252497822017592,1977653129.3380682,18.0,0.03158166712496977,606.2240189951269,16.78100149325525,54.37924456846932,[15.     4.     3.125  3.   ],106.73802872947334,25.44062923480268,127.4844387917484,[30.  6.  2.  1.],66.89094485982513,15,0,"[0, 0, 0, 0]",2.08mW,60.64,9.472,3.901,92.92469338808819,0,0,0,0,2.08,1.9776531293380681,1999999998.229916
K,50,14*1um/60nm,3.58548811187641,11.375837239924032,-21.10342527716392,1977653129.3380682,18.0,0.032844933809968564,569.3917207698603,17.504660386869276,67.04851140922794,[15.     3.5    2.875  3.   ],106.73802872947334,25.44062923480268,127.4844387917484,[30.  6.  2.  1.],54.695925006994955,15,0,"[0, 0, 0, 0]",2.24mW,60.83,9.478,3.902,91.82469338808819,0,0,0,0,2.24,1.9776531293380681,1999999997.352188
L,51,14*1um/60nm,3.568188155328873,11.289835522304855,-21.98642474352716,1977653129.3380682,18.0,0.032844933809968564,569.3917207698603,17.504660386869276,67.04851140922794,[15.     3.5    2.875  3.   ],106.73802872947334,25.44062923480268,127.4844387917484,[30.  6.  2.  1.],56.617745467082365,15,0,"[0, 0, 0, 0]",2.24mW,60.83,9.478,3.902,91.82469338808819,0,0,0,0,2.24,1.9776531293380681,1999999997.5436203
