Option,Rin,Size,NF,Gain,S11,BW,Input_TLine_Imp,Input_TLine_Len,Input_L,Input_L_Q,Input_L_SRF,Input_L_Geom,Output_L,Output_L_Q,Output_L_SRF,Output_L_Geom,Degen_L,Degen_L_Q,Degen_L_SRF,Degen_L_Geom,DC_Power,CPWD_Length,CPWD_Width,CPWD_Gap,CLoad,Inter_ind_L,Inter_ind_Q,Inter_ind_SRF,Inter_cap,_PWR_mW,_BW_GHz,Score
s,50,27*1um/60nm,2.5184992469867655,14.848821987103262,-10.041701909431644,2612942919.0778413,18.0,0.0138959335349867,974.6100794027807,13.01628780854638,46.76959892079108,[22.5    3.     2.625  3.   ],313.7599117920486,12.373173402194587,60.27221705103957,[77.5    9.5    3.375  1.   ],74.60310218426216,15.0,0.0,"[0, 0, 0, 0]",4.32mW,59.6,9.472,3.925,91.99957866340941,0,0,0,0,4.32,2.6129429190778413,1999999996.8336267
t,51,27*1um/60nm,2.679943811948844,14.762820269484088,-10.000951800328933,2612942919.0778413,18.0,0.017685733589983075,970.8773159328556,12.695696628221954,45.77039163254264,[15.    3.    2.25  4.  ],313.7599117920486,12.373173402194587,60.27221705103957,[77.5    9.5    3.375  1.   ],76.53725960660235,15.0,0.0,"[0, 0, 0, 0]",4.32mW,59.6,9.472,3.925,91.99957866340941,0,0,0,0,4.32,2.6129429190778413,1999999997.674244
u,52,27*1um/60nm,2.657441664828644,14.67848859411546,-10.023030959796511,2612942919.0778413,18.0,0.012632666849987909,970.8773159328556,12.695696628221954,45.77039163254264,[15.    3.    2.25  4.  ],313.7599117920486,12.373173402194587,60.27221705103957,[77.5    9.5    3.375  1.   ],78.47263371377359,15.0,0.0,"[0, 0, 0, 0]",4.32mW,59.36,9.474,3.942,91.99957866340941,0,0,0,0,4.32,2.6129429190778413,1999999997.6894
v,53,27*1um/60nm,2.624149453151055,14.59576333445556,-10.008788175941818,2612942919.0778413,18.0,0.012632666849987909,966.8396779013748,13.3443347553074,45.264381230645924,[27.5    3.     2.375  3.   ],313.7599117920486,12.373173402194587,60.27221705103957,[77.5    9.5    3.375  1.   ],80.40925677556594,15.0,0.0,"[0, 0, 0, 0]",4.32mW,59.36,9.474,3.942,91.99957866340941,0,0,0,0,4.32,2.6129429190778413,1999999997.644588
w,54,27*1um/60nm,2.604219256834572,14.514584432233768,-10.035012237622325,2612942919.0778413,18.0,0.008842866794991537,966.8396779013748,13.3443347553074,45.264381230645924,[27.5    3.     2.375  3.   ],313.7599117920486,12.373173402194587,60.27221705103957,[77.5    9.5    3.375  1.   ],82.34716119728846,15.0,0.0,"[0, 0, 0, 0]",4.32mW,59.36,9.474,3.942,91.99957866340941,0,0,0,0,4.32,2.6129429190778413,1999999997.6682484
x,55,27*1um/60nm,2.4204736037051604,14.434895135521014,-11.826068532734924,2612942919.0778413,18.0,0.0,962.0415638355403,14.852771528880126,50.53844751956752,[22.5   3.5   3.25  3.  ],313.7599117920486,12.373173402194587,60.27221705103957,[77.5    9.5    3.375  1.   ],84.28637952361099,15.0,0.0,"[0, 0, 0, 0]",4.32mW,59.03,9.48,3.943,91.99957866340941,0,0,0,0,4.32,2.6129429190778413,1999999997.3641179
y,56,27*1um/60nm,2.4046678048167625,14.356641760401448,-12.108404529052352,2612942919.0778413,18.0,0.0,962.0415638355403,14.852771528880126,50.53844751956752,[22.5   3.5   3.25  3.  ],313.7599117920486,12.373173402194587,60.27221705103957,[77.5    9.5    3.375  1.   ],86.22694444244716,15.0,0.0,"[0, 0, 0, 0]",4.32mW,59.03,9.48,3.943,91.99957866340941,0,0,0,0,4.32,2.6129429190778413,1999999997.4637198
z,57,27*1um/60nm,2.389655897410931,14.279773473738537,-12.395560781339963,2612942919.0778413,18.0,0.0,962.0415638355403,14.852771528880126,50.53844751956752,[22.5   3.5   3.25  3.  ],313.7599117920486,12.373173402194587,60.27221705103957,[77.5    9.5    3.375  1.   ],88.1688887888791,15.0,0.0,"[0, 0, 0, 0]",4.32mW,59.03,9.48,3.943,91.99957866340941,0,0,0,0,4.32,2.6129429190778413,1999999997.5662417
{,58,27*1um/60nm,2.3249779385378844,14.204242094834079,-10.066112007885803,2612942919.0778413,18.0,0.003789800054996373,956.8139297643947,14.012364626641766,44.21214841393554,[22.5  3.   2.5  3. ],313.7599117920486,12.373173402194587,60.27221705103957,[77.5    9.5    3.375  1.   ],90.11224554912548,15.0,0.0,"[0, 0, 0, 0]",4.32mW,59.24,9.478,3.943,91.99957866340941,0,0,0,0,4.32,2.6129429190778413,1999999996.8169599
|,59,27*1um/60nm,2.3118259508322248,14.13000191404201,-10.020652147002323,2612942919.0778413,18.0,0.0,956.8139297643947,14.012364626641766,44.21214841393554,[22.5  3.   2.5  3. ],313.7599117920486,12.373173402194587,60.27221705103957,[77.5    9.5    3.375  1.   ],92.05704786455438,15.0,0.0,"[0, 0, 0, 0]",4.32mW,59.03,9.48,3.943,91.99957866340941,0,0,0,0,4.32,2.6129429190778413,1999999996.8451698
